"date","forecast"
2017-03-01,3005.22838123659
2017-03-02,2928.78319354917
2017-03-03,3030.92417663191
2017-03-04,3002.29467463583
2017-03-05,3162.56642975191
2017-03-06,3071.04539287877
2017-03-07,3026.02580643115
2017-03-08,3060.44894653198
2017-03-09,2974.18188359529
2017-03-10,3055.25936191106
2017-03-11,2963.1352368351
2017-03-12,3152.12227989902
2017-03-13,3091.72610991049
2017-03-14,3053.58730122169
2017-03-15,3072.99937181196
2017-03-16,2984.91614821319
2017-03-17,3063.35223747434
2017-03-18,2965.10123093624
2017-03-19,3155.86484842269
2017-03-20,3097.53091643423
2017-03-21,3059.47225333001
2017-03-22,3077.17268979977
2017-03-23,2988.54999173223
2017-03-24,3066.42453669755
2017-03-25,2967.35866853536
2017-03-26,3158.01350791513
2017-03-27,3099.62713580446
2017-03-28,3061.37631543441
2017-03-29,3078.75750488822
2017-03-30,2989.93644501002
2017-03-31,3067.62968797942
